Unnamed: 0,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
12,sepatu Vans old skool Fetino sepatu kasual pria wanita // Autentik Fans / Vens Fatino,rapayurapopo_82,"KOTA JAKARTA BARAT - KEBON JERUK, DKI JAKARTA, ID",Rp69.000,37% off,"3,1RB",4.6,"1,7RB",/sepatu-Vans-old-skool-Fetino-sepatu-kasual-pria-wanita-Autentik-Fans-Vens-Fatino-i.140582312.3453393526?position=12
13,SEPATU VANS_REVENGE X STORM BLACK WHITE OLD SKOOL VANS01 SNEAKERS CASUAL PRIA WANITA,fahmisaepul07,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp45.000,55% off,71,4.5,36,/SEPATU-VANS_REVENGE-X-STORM-BLACK-WHITE-OLD-SKOOL-VANS01-SNEAKERS-CASUAL-PRIA-WANITA-i.164203093.9311085380?position=13
15,sepatu kasual vans x national geographic sneakers pria terbaru,osa_store,"KOTA BANDUNG - UJUNG BERUNG, JAWA BARAT, ID",Rp100.000,50% off,702,4.5,404,/sepatu-kasual-vans-x-national-geographic-sneakers-pria-terbaru-i.81268489.6456518732?position=50
17,Sepatu Pria Era Authentic Sneakers Vans Authentic Full Black Sepatu Kerja Sepatu Casual Hitam Polos,galang96_,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp60.000,40% off,574,4.5,20,/Sepatu-Pria-Era-Authentic-Sneakers-Vans-Authentic-Full-Black-Sepatu-Kerja-Sepatu-Casual-Hitam-Polos-i.189235009.9055244639?position=52
18,COD PROMO DISKON SEPATU VANS OLDSKOOL PRIA WANITA SIZE 36-44 SEPATU HITAM SEPATU SEKOLAH,sepatusyafa,"KAB. MOJOKERTO - PURI, JAWA TIMUR, ID",Rp58.000,,144,4.9,86,/COD-PROMO-DISKON-SEPATU-VANS-OLDSKOOL-PRIA-WANITA-SIZE-36-44-SEPATU-HITAM-SEPATU-SEKOLAH-i.359988144.9413913145?position=53
19,SNEAKERS TERMURAH DAN TERKEREN DI TAHUN 2021 SEPATU VANS NEW,fikrie_shop01,"KAB. BOGOR - CIOMAS, JAWA BARAT, ID",Rp54.450,45% off,"2,4RB",3.9,155,/SNEAKERS-TERMURAH-DAN-TERKEREN-DI-TAHUN-2021-SEPATU-VANS-NEW-i.428381132.8248685806?position=54
20,(BONUS SANDAL VANS) SEPATU VANS OLDSKOOL BLACK WHITE - SNEAKERS VANS OLD SKOOL PREMIUM MURAH - osbw1,kello_id,"KOTA SURABAYA - BUBUTAN, JAWA TIMUR, ID",Rp155.000,56% off,7RB,4.8,878,/(BONUS-SANDAL-VANS)-SEPATU-VANS-OLDSKOOL-BLACK-WHITE-SNEAKERS-VANS-OLD-SKOOL-PREMIUM-MURAH-osbw1-i.154702106.5258529245?ads_keyword=sepatu%20vans&adsid=23456499&campaignid=13857757&position=55
21,(BISA COD - FREE GANTUNGAN KUNCI) Sepatu Vans Authentic Black White - Sneakers Vans Authentic aubw,sneakersuper.co,"KOTA SURABAYA - BUBUTAN, JAWA TIMUR, ID",Rp145.000,59% off,"7,5RB",4.8,"2,6RB",/(BISA-COD-FREE-GANTUNGAN-KUNCI)-Sepatu-Vans-Authentic-Black-White-Sneakers-Vans-Authentic-aubw-i.146772054.5560137521?ads_keyword=sepatu%20vans&adsid=23761327&campaignid=14057949&position=56
22,100% Import Vans Oldskool Ivory Black White,sandrisofficial,"KOTA CIMAHI - CIMAHI UTARA, JAWA BARAT, ID",Rp190.000,46% off,"2,4RB",4.7,"1,4RB",/100-Import-Vans-Oldskool-Ivory-Black-White-i.133928344.2883864057?ads_keyword=sepatu%20vans&adsid=10496070&campaignid=6961299&position=57
23,SEPATU VANS OLDSKOOL GRADE ORIGINAL TERMURAH,izdihaar_store94,"KAB. MOJOKERTO - PURI, JAWA TIMUR, ID",Rp49.900 - Rp59.900,58% off,"2,1RB",4.6,"1,1RB",/SEPATU-VANS-OLDSKOOL-GRADE-ORIGINAL-TERMURAH-i.215290045.7713511031?ads_keyword=sepatu%20vans&adsid=23525820&campaignid=13904563&position=58
25,(BONUS TOTE BAG / KAOS KAKI / PAPER BAG) SEPATU VANS OLDSKOOL CLASSIC BLACK WHITE - osbw,kello_id,"KOTA SURABAYA - BUBUTAN, JAWA TIMUR, ID",Rp136.000,,6RB,4.7,464,/(BONUS-TOTE-BAG-KAOS-KAKI-PAPER-BAG)-SEPATU-VANS-OLDSKOOL-CLASSIC-BLACK-WHITE-osbw-i.154702106.9221505184?ads_keyword=sepatu%20vans&adsid=46703063&campaignid=28394469&position=60
26,Vans Old Skool original Sepatu Vans Original Sneakers Old School Premium,bhinekashop,"KAB. BANDUNG - BANJARAN, JAWA BARAT, ID",Rp115.000,58% off,201,4.8,92,/Vans-Old-Skool-original-Sepatu-Vans-Original-Sneakers-Old-School-Premium-i.386203128.11217802558?ads_keyword=sepatu%20vans&adsid=55248905&campaignid=33582912&position=61
27,Sepatu Sneakers Unisex PRIA WANITA TERLARIS SEPATU VANS OLD SKOOL BLACK WHITE CLASIC 001,kujanggrosirbandung,"KOTA BANDUNG - ANTAPANI (CICADAS), JAWA BARAT, ID",Rp161.500 - Rp170.000,5% off,9,4.8,4,/Sepatu-Sneakers-Unisex-PRIA-WANITA-TERLARIS-SEPATU-VANS-OLD-SKOOL-BLACK-WHITE-CLASIC-001-i.429837088.11408390513?ads_keyword=wkdaelpmissisiht&adsid=54403819&campaignid=33128734&position=62
28,VANS OLD SKOOL FORGOTTEN BONES BLACK WHITE ORIGINAL 100%,clawstore.sneak,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp850.000 - Rp875.000,23% off,14,5.0,8,/VANS-OLD-SKOOL-FORGOTTEN-BONES-BLACK-WHITE-ORIGINAL-100--i.232020050.9601003856?ads_keyword=sepatu%20vans%20pria&adsid=29742654&campaignid=17801261&position=63
