product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
VANS OFF THE WALL | OLD SKOOL BLK WHT | SEPATU - 42,FRIDAY KILLER CO,Kab. Pamekasan,Rp719.200,20%,Terjual 46,5,(32 ulasan),https://www.tokopedia.com/fridaykillerco/vans-off-the-wall-old-skool-blk-wht-sepatu-42?whid=0
Sepatu Vans Old Skool Classic Black Gum BNIB Original Premium,sneaker official member,Kota Bandung,Rp295.000,,Terjual 16,4.7,(10 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-old-skool-classic-black-gum-bnib-original-premium?whid=0
"Grade Original! Sepatu Vans Slip On Checkerboard / Catur (Free Box) - Classic, 36",marsyastore_,Jakarta Barat,Rp140.000,,Terjual 74,4.3,(50 ulasan),https://www.tokopedia.com/marsyastoree/grade-original-sepatu-vans-slip-on-checkerboard-catur-free-box-classic-36?whid=0
"SEPATU VANS SLIP ON OG BLACK WHITE - black white, 36",4SDOnlineshop,Jakarta Selatan,Rp114.000,5%,Terjual 140,4.8,(105 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-slip-on-og-black-white-black-white-36?whid=0
"Sepatu Vans Sneakers Fetino Hitam Merah sepatu kasual sekolah - 43 - Merah, 36",Arty's Shoes,Kab. Tangerang,Rp75.000,,Terjual 33,4.8,(26 ulasan),https://www.tokopedia.com/artyshoes/sepatu-vans-sneakers-fetino-hitam-merah-sepatu-kasual-sekolah-43-merah-36?whid=0
"Vans Slip On Moma Import China BNIB Pria Wanita Sepatu Sneakers - Putih, 36",jovingalery,Jakarta Selatan,Rp109.000,,Terjual 129,4.7,(76 ulasan),https://www.tokopedia.com/jovingalery/vans-slip-on-moma-import-china-bnib-pria-wanita-sepatu-sneakers-putih-36?whid=0
Sepatu Vans Berle Pro Original,70stores,Jakarta Pusat,Rp1.989.000,,Terjual 4,5,(2 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-berle-pro-original?whid=0
Sepatu Pria Sneakers Cowo Vans Old School Hitam Garis Putih Termurah - 39,SEPATU SAFETY TACTICAL,Kab. Bandung,Rp55.000,,Terjual 127,4,(45 ulasan),https://www.tokopedia.com/sepatusafetytact/sepatu-pria-sneakers-cowo-vans-old-school-hitam-garis-putih-termurah-39?whid=0
Sepatu Vans Oldskoll Hitam Polos - Termurah,Toko Sepatu Arfan,Jakarta Timur,Rp119.000,,Terjual 51,4.8,(19 ulasan),https://www.tokopedia.com/tokosepatuarfan/sepatu-vans-oldskoll-hitam-polos-termurah?whid=0
Sepatu Vans Old Skool Hitam Gum Murah,Toko All Star Murah,Kota Tangerang Selatan,Rp129.000,,Terjual 36,4.1,(15 ulasan),https://www.tokopedia.com/tokoallstarmurah/sepatu-vans-old-skool-hitam-gum-murah?whid=0
"Sepatu Vans Old Skool Classic Black White waffle DT BNIB Original - Black White, 37",sneaker official member,Kota Bandung,Rp289.000,,Terjual 370,4.5,(183 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-old-skool-classic-black-white-waffle-dt-bnib-original-black-white-37?whid=0
Sepatu Vans Old School - Hitam - 36,Didara Store,Kab. Bogor,Rp54.900,,Terjual 73,4.8,(53 ulasan),https://www.tokopedia.com/didarastore/sepatu-vans-old-school-hitam-36?whid=0
Sepatu Vans Sk8 Hi x Harry Potter,ol shop 888,Jakarta Utara,Rp530.000,,Terjual 6,4.7,(3 ulasan),https://www.tokopedia.com/allstore888/sepatu-vans-sk8-hi-x-harry-potter?whid=0
THE GOODS DEPT - VANS UA ERA - 39,The Goods Dept,Jakarta Selatan,Rp764.100,10%,Terjual 17,5,(8 ulasan),https://www.tokopedia.com/thegoodsdept/the-goods-dept-vans-ua-era-39?whid=0
promo cuci gudang sepatu vans old skool hitam,toko sepatu pakde,Kota Tangerang,Rp60.000,,Terjual 33,4.5,(8 ulasan),https://www.tokopedia.com/tokosepatupakde/promo-cuci-gudang-sepatu-vans-old-skool-hitam?whid=0
